"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"AC020915.2","Unmatched","","","",""
"AC010642.2","Unmatched","","","",""
"AL110114.1","Unmatched","","","",""
"AL117335.1","Unmatched","","","",""
"AL121899.1","Unmatched","","","",""
"C20orf194","Previous symbol","DNAAF9","dynein axonemal assembly factor 9","HGNC:17721","20p13"
"C20orf27","Previous symbol","ADISSP","adipose secreted signaling protein","HGNC:15873","20p13"
"AL353194.1","Unmatched","","","",""
"AL035461.2","Unmatched","","","",""
"LINC00653","Previous symbol","LCDR","lysosome cell death regulator","HGNC:44308","20p11.23"
"AL117332.1","Unmatched","","","",""
"AL118508.1","Unmatched","","","",""
"AL035661.1","Alias symbol","LINC02967","long intergenic non-protein coding RNA 2967","HGNC:56007","20p11.21"
"AL390198.1","Unmatched","","","",""
"AL035071.1","Unmatched","","","",""
"ACTL10","Approved symbol","ACTL10","actin like 10","HGNC:16127","20q11.22"
"SOGA1","Previous symbol","MTCL2","microtubule crosslinking factor 2","HGNC:16111","20q11.23"
"AL359555.4","Unmatched","","","",""
"AL023803.1","Unmatched","","","",""
"AL118522.1","Unmatched","","","",""
"AL162458.1","Unmatched","","","",""
"AL031666.1","Unmatched","","","",""
"TMEM189","Previous symbol","PEDS1","plasmanylethanolamine desaturase 1","HGNC:16735","20q13.13"
"SMIM25","Previous symbol","PELATON","plaque enriched lncRNA in atherosclerotic and inflammatory bowel macrophage regulation","HGNC:50328","20q13.13"
"MTRNR2L3","Approved symbol","MTRNR2L3","MT-RNR2 like 3 (pseudogene)","HGNC:37157","20q13.31"
"AL354836.1","Unmatched","","","",""
"AL121832.2","Alias symbol","RPS21-DT","RPS21 divergent transcript","HGNC:56740","20q13.33"
"AL117379.1","Unmatched","","","",""
"AL118506.1","Unmatched","","","",""
"GATD3B","Entry withdrawn","GATD3B","","HGNC:53816",""
"FP565260.1","Unmatched","","","",""
"FP565260.6","Unmatched","","","",""
"SIK1B","Entry withdrawn","SIK1B","","HGNC:52389",""
"CU638689.4","Unmatched","","","",""
"CU638689.5","Unmatched","","","",""
"CU634019.5","Unmatched","","","",""
"AP001347.1","Unmatched","","","",""
"AJ009632.2","Unmatched","","","",""
"AP000251.1","Unmatched","","","",""
"AP000254.2","Unmatched","","","",""
"AP000704.1","Unmatched","","","",""
"AL844908.1","Unmatched","","","",""
"FAM207A","Previous symbol","SLX9","SLX9 ribosome biogenesis factor","HGNC:15811","21q22.3"
"AP001505.1","Unmatched","","","",""
"AP000525.1","Unmatched","","","",""
"AC006946.2","Unmatched","","","",""
"DGCR9","Previous symbol","DGCR5","DiGeorge syndrome critical region gene 5","HGNC:16757","22q11.21"
"AC000068.1","Unmatched","","","",""
"AC000068.3","Unmatched","","","",""
"AC006547.3","Unmatched","","","",""
"AC002470.1","Unmatched","","","",""
"AC245060.5","Unmatched","","","",""
"Z95115.1","Unmatched","","","",""
"Z93930.2","Unmatched","","","",""
"AC003681.1","Unmatched","","","",""
"AL096701.4","Unmatched","","","",""
"H1F0","Previous symbol","H1-0","H1.0 linker histone","HGNC:4714","22q13.1"
"AL022311.1","Unmatched","","","",""
"AL021707.2","Unmatched","","","",""
"AL021707.6","Unmatched","","","",""
"Z93241.1","Unmatched","","","",""
"BX537318.1","Unmatched","","","",""
"AL121672.3","Unmatched","","","",""
"AL021392.1","Unmatched","","","",""
"AL118516.1","Unmatched","","","",""
"AL078622.1","Unmatched","","","",""
"BX539320.1","Unmatched","","","",""
"AL022328.4","Unmatched","","","",""
"ODF3B","Previous symbol","CIMAP1B","ciliary microtubule associated protein 1B","HGNC:34388","22q13.33"
"U62317.4","Unmatched","","","",""
"U62317.1","Unmatched","","","",""
"BX890604.2","Unmatched","","","",""
"FAM104B","Previous symbol","VCF2","VCP nuclear cofactor family member 2","HGNC:25085","Xp11.21"
"MTRNR2L10","Approved symbol","MTRNR2L10","MT-RNR2 like 10 (pseudogene)","HGNC:37167","Xp11.21"
"Z83843.1","Unmatched","","","",""
"TMSB15B-1","Unmatched","","","",""
"CXorf56","Previous symbol","STEEP1","STING1 ER exit protein 1","HGNC:26239","Xq24"
"AL121601.1","Unmatched","","","",""
"AL022162.1","Unmatched","","","",""
"FAM122B","Previous symbol","PABIR2","PABIR family member 2","HGNC:30490","Xq26.3"
"FAM122C","Previous symbol","PABIR3","PABIR family member 3","HGNC:25202","Xq26.3"
"AL683813.1","Unmatched","","","",""
"LINC00893","Previous symbol","EOLA1-DT","EOLA1 divergent transcript","HGNC:44265","Xq28"
"CXorf40A","Previous symbol","EOLA1","endothelium and lymphocyte associated ASCH domain 1","HGNC:28089","Xq28"
"CXorf40B","Previous symbol","EOLA2","endothelium and lymphocyte associated ASCH domain 2","HGNC:17402","Xq28"
"LINC00894","Previous symbol","EOLA2-DT","EOLA2 divergent transcript","HGNC:48579","Xq28"
"TAZ","Previous symbol","TAFAZZIN","tafazzin, phospholipid-lysophospholipid transacylase","HGNC:11577","Xq28"
"TAZ","Alias symbol","WWTR1","WW domain containing transcription regulator 1","HGNC:24042","3q25.1"
"AC244090.1","Unmatched","","","",""
"F8A1","Approved symbol","F8A1","coagulation factor VIII associated 1","HGNC:3547","Xq28"
"MT-ATP8","Approved symbol","MT-ATP8","mitochondrially encoded ATP synthase membrane subunit 8","HGNC:7415","mitochondria"
"MT-ND4L","Approved symbol","MT-ND4L","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L","HGNC:7460","mitochondria"
"MT-ND5","Approved symbol","MT-ND5","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5","HGNC:7461","mitochondria"
"MT-ND6","Approved symbol","MT-ND6","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6","HGNC:7462","mitochondria"
"AC011043.1","Unmatched","","","",""
"AC007325.4","Unmatched","","","",""
